year,n_ipos,mean_fdr_ew,median_fdr,n_tech,n_nontech,fdr_tech,fdr_nontech,agg_left_on_table_b,agg_proceeds_b,pct_neg_fdr,mkt_val_at_close_b,avg_1yr_return,avg_3yr_bhr_from_close,3yr_mkt_adj,3yr_style_adj,implied_3yr_bhr_from_offer
1980,71,0.143,0.069,22,49,0.217,0.109,0.18,0.91,0.310,5.88,0.287,0.898,0.370,0.185,
1981,192,0.059,0.003,72,120,0.070,0.052,0.13,2.31,0.208,10.71,-0.105,0.123,-0.270,0.110,
1982,77,0.110,0.037,42,35,0.136,0.079,0.13,1.00,0.169,5.11,1.018,0.375,-0.315,-0.120,
1983,451,0.099,0.025,173,278,0.139,0.075,0.84,8.89,0.182,41.35,-0.192,0.159,-0.377,-0.044,
1984,171,0.037,0.000,50,121,0.055,0.029,0.05,2.02,0.257,8.76,0.200,0.502,-0.285,0.290,
1985,186,0.064,0.028,37,149,0.061,0.065,0.23,4.09,0.183,15.18,0.236,0.056,-0.413,-0.123,
1986,393,0.061,0.011,77,316,0.072,0.059,0.68,13.40,0.282,46.77,0.095,0.169,-0.226,-0.013,
1987,285,0.056,0.013,59,226,0.073,0.052,0.66,11.68,0.193,45.59,-0.215,-0.026,-0.191,-0.112,
1988,105,0.055,0.023,28,77,0.055,0.055,0.13,3.88,0.181,21.65,0.287,0.580,0.097,0.387,
1989,116,0.080,0.040,35,81,0.119,0.063,0.27,5.81,0.121,22.37,-0.055,0.481,0.132,0.072,
1990,110,0.108,0.056,32,78,0.149,0.091,0.34,4.24,0.136,17.79,0.040,0.097,-0.359,-0.384,
1991,286,0.119,0.075,71,215,0.173,0.101,1.50,15.39,0.094,54.06,0.105,0.312,-0.018,0.058,
1992,412,0.103,0.044,115,297,0.144,0.087,1.82,22.69,0.138,74.35,0.205,0.374,-0.002,0.111,
1993,510,0.127,0.063,127,383,0.178,0.111,3.52,31.44,0.094,126.00,0.030,0.441,-0.087,-0.095,
1994,402,0.096,0.042,115,287,0.141,0.078,1.43,17.18,0.075,64.00,0.278,0.780,-0.057,-0.009,
1995,462,0.214,0.132,205,257,0.308,0.140,4.90,27.93,0.069,127.00,0.265,0.286,-0.580,-0.247,
1996,677,0.172,0.100,276,401,0.202,0.152,6.76,42.05,0.087,215.00,0.071,0.252,-0.568,0.070,
1997,474,0.140,0.094,174,300,0.169,0.124,4.56,31.76,0.072,141.00,0.080,0.583,-0.020,0.220,
1998,283,0.219,0.089,113,170,0.391,0.103,5.25,33.66,0.120,164.00,0.184,0.229,0.051,-0.049,
1999,476,0.712,0.375,370,106,0.867,0.172,37.11,64.67,0.118,652.00,0.221,-0.476,-0.325,-0.606,-0.103
2000,380,0.563,0.279,261,119,0.692,0.281,29.68,64.80,0.118,642.00,-0.529,-0.601,-0.309,-0.569,-0.376
2001,80,0.140,0.102,24,56,0.227,0.103,2.97,35.29,0.125,177.00,-0.143,0.180,0.146,-0.278,0.055
2002,66,0.091,0.082,20,46,0.086,0.093,1.13,22.03,0.152,84.00,0.031,0.686,0.390,-0.004,
2003,63,0.117,0.087,18,45,0.174,0.095,1.00,9.54,0.175,40.00,0.257,0.340,-0.077,-0.112,
2004,173,0.123,0.071,61,112,0.166,0.100,3.86,31.19,0.191,148.00,0.178,0.514,0.069,-0.070,
2005,159,0.103,0.058,45,114,0.108,0.101,2.64,28.23,0.226,105.00,0.190,0.146,0.031,-0.025,
2006,157,0.121,0.056,48,109,0.153,0.108,3.95,30.48,0.178,135.00,0.214,-0.288,-0.111,-0.045,
2007,159,0.140,0.068,76,83,0.188,0.096,4.95,35.66,0.252,212.00,-0.284,-0.165,-0.004,0.005,
2008,21,0.057,-0.017,6,15,0.026,0.070,5.63,22.76,0.619,63.00,-0.344,0.114,0.081,0.051,
2009,41,0.098,0.057,14,27,0.169,0.062,1.46,13.17,0.195,59.00,0.115,0.370,-0.051,-0.183,
2010,91,0.094,0.031,33,58,0.155,0.059,1.84,29.82,0.231,116.00,0.157,0.364,-0.096,-0.185,
2011,81,0.139,0.085,36,45,0.202,0.090,3.51,26.97,0.222,178.00,-0.122,0.386,-0.087,-0.116,
2012,93,0.177,0.111,40,53,0.234,0.133,2.75,31.11,0.183,181.00,0.357,0.819,0.318,0.334,
2013,158,0.209,0.130,45,113,0.267,0.185,7.89,41.56,0.228,270.00,0.128,0.121,-0.144,-0.161,
2014,206,0.155,0.058,53,153,0.250,0.122,5.40,42.20,0.277,238.00,0.201,0.171,-0.097,-0.125,
2015,118,0.192,0.103,38,80,0.188,0.194,4.16,22.00,0.246,150.00,-0.238,0.245,-0.099,-0.273,
2016,75,0.145,0.050,21,54,0.324,0.075,1.77,12.52,0.227,79.00,0.233,0.705,0.295,0.270,
2017,106,0.129,0.090,30,76,0.211,0.096,3.68,22.98,0.255,162.00,0.324,0.528,0.226,0.356,
2018,134,0.186,0.116,39,95,0.323,0.130,6.39,33.47,0.261,225.00,-0.068,0.791,0.234,0.558,
2019,113,0.235,0.179,37,76,0.286,0.211,6.95,39.28,0.274,333.00,0.330,0.125,-0.251,-0.088,
2020,165,0.416,0.262,46,119,0.626,0.335,29.66,61.86,0.194,687.00,0.099,-0.481,-0.786,-0.757,
2021,311,0.321,0.170,121,190,0.330,0.316,28.65,119.36,0.244,1205.00,-0.491,-0.491,-0.686,-0.423,
2022,38,0.489,0.093,6,32,0.093,0.564,0.99,6.99,0.395,73.00,-0.277,-0.295,-0.722,-0.699,
2023,54,0.119,-0.005,9,45,-0.056,0.154,1.92,11.92,0.537,115.00,-0.116,-0.309,-0.883,-0.847,
2024,72,0.153,0.072,14,58,0.411,0.091,3.72,20.49,0.347,137.00,-0.174,-0.047,-0.332,-0.123,
2025,90,0.293,0.137,31,59,0.334,0.271,13.11,38.97,0.244,421.00,,,,
